INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,LATITUDE,LONGITUDE,UGDS
Chamberlain College of Nursing-Arizona,Phoenix,AZ,85021,North Central Association of Colleges and Schools The Higher Learning Commission,33.56573,-112.104421,633
Career Quest Learning Centers-Jackson,Jackson,MI,48901,Council on Occupational Education,42.246771,-84.402591,114
Regency Beauty Institute-Fort Collins,Fort Collins,CO,80528,NULL,40.523747,-105.03705,62
Regency Beauty Institute-Tolleson,Phoenix,AZ,85033,NULL,33.480712,-112.227686,49
Regency Beauty Institute-Pasadena,Pasadena,TX,77505,NULL,29.649621,-95.149433,78
Regency Beauty Institute-Dayton,Dayton,OH,45459,NULL,39.632758,-84.207961,41
Regency Beauty Institute-Akron,Akron,OH,44310-0000,NULL,41.127355,-81.606582,64
Regency Beauty Institute-Detroit Southgate,Southgate,MI,48195,NULL,42.197891,-83.214491,91
Regency Beauty Institute-Flint,Flint,MI,48507,NULL,42.979981,-83.759526,83
Regency Beauty Institute-Grand Rapids,Walker,MI,49544,NULL,43.027986,-85.690859,54
Regency Beauty Institute-Cypresswood,Spring,TX,77373,NULL,30.053717,-95.43141,98
Bryan University,Rogers,AR,72756,Accrediting Council for Independent Colleges and Schools,36.334163,-94.17008,20
Regency Beauty Institute-Austin,Austin,TX,78704,NULL,30.220405,-97.758132,67
Regency Beauty Institute-Mesa,Mesa,AZ,85202,NULL,33.392554,-111.862496,38
Regency Beauty Institute-Nashville,Antioch,TN,37013,NULL,36.047756,-86.647343,34
Regency Beauty Institute-Charlotte,Charlotte,NC,28273,NULL,35.138328,-80.931732,29
Regency Beauty Institute-North Olmsted,North Olmsted,OH,44070,NULL,41.420297,-81.916497,64
Regency Beauty Institute-Columbus,Columbus,OH,43214,NULL,40.064993,-83.023971,105
Regency Beauty Institute-Elgin,Elgin,IL,60123,NULL,42.02359,-88.340147,66
The Salon Professional Academy-Appleton,Appleton,WI,54915,National Accrediting Commission of Career Arts and Sciences,44.261768,-88.455943,51
Milan Institute of Cosmetology-Fairfield,Fairfield,CA,94533,National Accrediting Commission of Career Arts and Sciences,38.248448,-122.0455,76
Milan Institute of Cosmetology-Reno,Reno,NV,89502,National Accrediting Commission of Career Arts and Sciences,39.486095,-119.789093,169
Milan Institute of Cosmetology-Visalia,Visalia,CA,93277,National Accrediting Commission of Career Arts and Sciences,36.301861,-119.309922,206
Ottawa University-Online,Ottawa,KS,66067,North Central Association of Colleges and Schools The Higher Learning Commission,38.602692,-95.263775,266
Broadview University-Orem,Orem,UT,84057,NULL,40.314203,-111.72321,90
Paul Mitchell the School-Esani,Roswell,GA,30076,National Accrediting Commission of Career Arts and Sciences,34.045128,-84.333508,248
Institute of Production and Recording,Minneapolis,MN,55401,Accrediting Commission of Career Schools and Colleges,44.98218,-93.272141,214
Virginia College-Greenville,Greenville,SC,29607,Accrediting Council for Independent Colleges and Schools,34.807545,-82.343355,289
Paul Mitchell the School-Birmingham,Hoover,AL,35216,National Accrediting Commission of Career Arts and Sciences,33.388825,-86.808183,128
Taft University System,Denver,CO,80246,Distance Education Accrediting Commission,39.70586,-104.932501,6
Mayfield College,Cathedral City,CA,92234,Council on Occupational Education,33.782575,-116.464237,404
Academy of Esthetics and Cosmetology,San Fernando,CA,91340-3212,National Accrediting Commission of Career Arts and Sciences,34.284868,-118.444038,50
International Professional School of Bodywork,San Diego,CA,92123,NULL,32.821309,-117.13408,131
Borner's Barber College,Los Angeles,CA,90047,National Accrediting Commission of Career Arts and Sciences,33.95588,-118.309291,49
Paul Mitchell the School-Pasadena,Pasadena,CA,91101,National Accrediting Commission of Career Arts and Sciences,34.144564,-118.132636,159
San Francisco Institute of Esthetics & Cosmetology Inc,San Francisco,CA,94103,National Accrediting Commission of Career Arts and Sciences,37.777043,-122.407083,216
Laurus College,San Luis Obispo,CA,93401,Accrediting Council for Independent Colleges and Schools,35.2682,-120.669519,941
Healing Hands School of Holistic Health,Escondido,CA,92025,Accrediting Bureau of Health Education Schools,33.129626,-117.086556,258
Career Development Institute Inc,Los Angeles,CA,90035,Accrediting Bureau of Health Education Schools,34.045703,-118.386143,60
Auguste Escoffier School of Culinary Arts-Boulder,Boulder,CO,80305,Accrediting Council for Continuing Education & Training,39.983475,-105.250075,369
Aspen University,Denver,CO,80222,Distance Education Accrediting Commission,39.703696,-104.939873,802
Institute of Taoist Education and Acupuncture,Louisville,CO,80027,Accrediting Commission for Acupuncture and Oriental Medicine,39.987278,-105.138528,NULL
National Beauty College,Denver,CO,80221,National Accrediting Commission of Career Arts and Sciences,39.825829,-105.007602,40
Denver School of Nursing,Denver,CO,80202,North Central Association of Colleges and Schools The Higher Learning Commission,39.753041,-104.994627,807
Cambridge College of Healthcare & Technology,Delray Beach,FL,33484,Accrediting Bureau of Health Education Schools,26.438131,-80.1257,453
Cozmo Beauty School,Bonita Springs,FL,34135,National Accrediting Commission of Career Arts and Sciences,26.330426,-81.780807,66
Orion College,Lauderdale Lakes,FL,33319,Accrediting Bureau of Health Education Schools,26.11946,-80.202291,336
North Florida Academy,Orange Park,FL,32065,National Accrediting Commission of Career Arts and Sciences,30.131103,-81.78473,11
Professional Hands Institute,Miami,FL,33125,Council on Occupational Education,25.77953,-80.250731,111
Celebrity School of Beauty,Miami,FL,33144,National Accrediting Commission of Career Arts and Sciences,25.761451,-80.333201,188
Paul Mitchell the School-Atlanta,Atlanta,GA,30318,National Accrediting Commission of Career Arts and Sciences,33.782528,-84.416273,320
Evans Hairstyling College-Rexburg,Rexburg,ID,83440,National Accrediting Commission of Career Arts and Sciences,43.824716,-111.812372,66
Paul Mitchell the School-Rexburg,Rexburg,ID,83440,National Accrediting Commission of Career Arts and Sciences,43.814418,-111.80516,114
University of Aesthetics-Chicago,Chicago,IL,60622-2151,National Accrediting Commission of Career Arts and Sciences,41.906708,-87.671259,27
The University of Aesthetics & Cosmetology,Downers Grove,IL,60515,National Accrediting Commission of Career Arts and Sciences,41.793731,-88.011189,39
Tricoci University of Beauty Culture-Chicago NW,Chicago,IL,60656,National Accrediting Commission of Career Arts and Sciences,41.97766,-87.806767,172
Tricoci University of Beauty Culture-Glendale Heights,Glendale Heights,IL,60139,National Accrediting Commission of Career Arts and Sciences,41.904545,-88.06568,92
Tricoci University of Beauty Culture-Peoria,Peoria,IL,61614,National Accrediting Commission of Career Arts and Sciences,40.745986,-89.60137,112
Tricoci University of Beauty Culture-Rockford,Rockford,IL,61108,National Accrediting Commission of Career Arts and Sciences,42.263898,-89.009435,134
Frederick School of Cosmetology,Frederick,MD,21701,National Accrediting Commission of Career Arts and Sciences,39.408237,-77.43111,15
Omega Studios' School of Applied Recording Arts & Sciences,Rockville,MD,20852,Accrediting Commission of Career Schools and Colleges,39.064397,-77.113381,122
Focus-Hope Information Technologies Center,Detroit,MI,48238,Accrediting Council for Continuing Education & Training,42.399727,-83.123793,63
International Cosmetology Academy,Grand Rapids,MI,49508,National Accrediting Commission of Career Arts and Sciences,42.912191,-85.643208,44
French Academy of Cosmetology,Spring Lake,MI,49456,National Accrediting Commission of Career Arts and Sciences,43.075898,-86.198004,53
Healing Arts Center,St. Louis,MO,63122,Accrediting Commission of Career Schools and Colleges,38.602577,-90.388253,99
Paul Mitchell the School-Springfield,Springfield,MO,65807,National Accrediting Commission of Career Arts and Sciences,37.159135,-93.31815,112
Urshan Graduate School of Theology,Florissant,MO,63031,Commission on Accrediting of the Association of Theological Schools,38.801695,-90.364462,NULL
Mississippi Institute of Aesthetics Nails & Cosmetology,Clinton,MS,39056,National Accrediting Commission of Career Arts and Sciences,32.32091,-90.325011,88
College of Western Idaho,Nampa,ID,83687,Northwest Commission on Colleges and Universities,43.614106,-116.507314,6951
Aveda Institute-Chapel Hill,Chapel Hill,NC,27516,National Accrediting Commission of Career Arts and Sciences,35.925206,-79.025224,231
Charlotte School of Law,Charlotte,NC,28244,NULL,35.22477,-80.843091,NULL
Daoist Traditions College of Chinese Medical Arts,Asheville,NC,28801,NULL,35.606831,-82.568537,NULL
Total Image Beauty Academy,Union City,NJ,7087,National Accrediting Commission of Career Arts and Sciences,40.77578,-74.026091,63
Jersey College,Teterboro,NJ,7608,Council on Occupational Education,40.862137,-74.057936,1928
American Institute of Medical Sciences & Education,Piscataway,NJ,8854,Middle States Commission on Secondary Education,40.56114,-74.437251,352
Casal Institute of Nevada,Las Vegas,NV,89119,National Accrediting Commission of Career Arts and Sciences,36.101554,-115.117263,181
Career School of NY,Staten Island,NY,10301,Council on Occupational Education,40.641352,-74.078168,55
John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,Ballston Spa,NY,12020,National Accrediting Commission of Career Arts and Sciences,43.02103,-73.840692,37
Yeshiva of Machzikai Hadas,Brooklyn,NY,11219,Association of Advanced Rabbinical and Talmudic Schools,40.638341,-73.987833,410
Aveda Institute-Columbus,Columbus,OH,43201,National Accrediting Commission of Career Arts and Sciences,39.994537,-83.014111,285
Paul Mitchell the School-Cincinnati,Cincinnati,OH,45241,National Accrediting Commission of Career Arts and Sciences,39.291559,-84.39234,222
Hands on Therapy,Mesquite,TX,75149,Accrediting Commission of Career Schools and Colleges,32.78877,-96.606185,83
MediaTech Institute-Dallas,Dallas,TX,75234,Accrediting Commission of Career Schools and Colleges,32.92425,-96.902721,175
PCCenter,DeSoto,TX,75115,Accrediting Commission of Career Schools and Colleges,32.605705,-96.827185,35
Aveda Institute-San Antonio,San Antonio,TX,78259-2792,National Accrediting Commission of Career Arts and Sciences,29.63745,-98.452421,236
Skin Science Institute,Salt Lake City,UT,84111,National Accrediting Commission of Career Arts and Sciences,40.76005,-111.879181,94
Global Health College,Alexandria,VA,22304,Accrediting Council for Independent Colleges and Schools,38.81331,-77.138551,337
Pacific Northwest University of Health Sciences,Yakima,WA,98901,NULL,46.602872,-120.45598,NULL
The Chicago School of Professional Psychology at Irvine,Irvine,CA,92612,Western Association of Schools and Colleges Senior Colleges and University Commission,33.650533,-117.838396,NULL
Fortis College-Dothan,Dothan,AL,36303,Accrediting Bureau of Health Education Schools,31.242886,-85.374424,199
Fortis Institute-Pensacola,Pensacola,FL,32514,Accrediting Bureau of Health Education Schools,30.510415,-87.183112,676
Fortis College-Montgomery,Montgomery,AL,36109,Accrediting Bureau of Health Education Schools,32.383686,-86.251882,289
Woodland Community College,Woodland,CA,95776,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,38.660562,-121.734242,2588
Dorsey Business Schools-Farmington Hills,Farmington Hills,MI,48228,Accrediting Council for Independent Colleges and Schools,42.49766,-83.379921,86
Dorsey Business Schools-Roseville Culinary Academy,Roseville,MI,48066,Accrediting Council for Independent Colleges and Schools,42.536298,-82.91033,141
Vatterott College-Appling Farms,Memphis,TN,38133,Accrediting Commission of Career Schools and Colleges,35.179508,-89.82991,322
Minnesota School of Business-Moorhead,Moorhead,MN,56560,NULL,46.848594,-96.72303,96
Brown Mackie College-Boise,Boise,ID,83709,Accrediting Council for Independent Colleges and Schools,43.590789,-116.295147,270
Brown Mackie College-Tulsa,Tulsa,OK,74146,Accrediting Council for Independent Colleges and Schools,36.09694,-95.853318,479
Fortis Institute-Birmingham,Birmingham,AL,35211,Accrediting Council for Independent Colleges and Schools,33.442835,-86.862473,454
Miller-Motte College-Greenville,Greenville,NC,27834,Accrediting Council for Independent Colleges and Schools,35.604669,-77.406368,293
The Chicago School of Professional Psychology at Los Angeles,Los Angeles,CA,90017,Western Association of Schools and Colleges Senior Colleges and University Commission,34.047983,-118.257204,33
Cardiac and Vascular Institute of Ultrasound,Mobile,AL,36606,Accrediting Bureau of Health Education Schools,30.65016,-88.112221,45
Virginia College-Jacksonville,Jacksonville,FL,32207,Accrediting Council for Independent Colleges and Schools,30.29163,-81.603291,511
Studio Academy of Beauty,Chandler,AZ,85224,National Accrediting Commission of Career Arts and Sciences,33.31467,-111.84318,335
California Nurses Educational Institute,Palm Springs,CA,92264,Council on Occupational Education,33.81682,-116.489431,235
RWM Fiber Optics,Carson,CA,90746-1051,Accrediting Council for Continuing Education & Training,33.881313,-118.265515,96
Paul Mitchell the School-Sacramento,Sacramento,CA,95825,National Accrediting Commission of Career Arts and Sciences,38.594888,-121.417266,418
Providence Christian College,Pasadena,CA,91104,Western Association of Schools and Colleges Senior Colleges and University Commission,34.17308,-118.119911,145
Oxford Academy of Hair Design Inc,Seymour,CT,6483,National Accrediting Commission of Career Arts and Sciences,41.39765,-73.060951,81
Institute of World Politics,Washington,DC,20036,Middle States Commission on Higher Education,38.910537,-77.036112,NULL
Pontifical John Paul II Institute for Studies on Marriage and Family,Washington,DC,20064,Middle States Commission on Higher Education,38.932716,-76.997896,NULL
Medical Institute of Palm Beach,Greenacres,FL,33463,Council on Occupational Education,26.62047,-80.13622,141
Lake Lanier School of Massage,Gainesville,GA,30501-4546,Accrediting Bureau of Health Education Schools,34.296441,-83.818401,96
Oliver Finley Academy of Cosmetology,Boise,ID,83714,National Accrediting Commission of Career Arts and Sciences,43.6674,-116.281291,171
National Career College,Panorama City,CA,91402,Accrediting Bureau of Health Education Schools,34.22245,-118.446211,218
